"govguareatsleep" "govtakecarewhocant" "govhelpneedy" "improveblackpos" "equalOPP" "poortoodep" "richgetricher" "govwasteful" "age" "agesq.01" "black" "bornagain" "blackbornagain" "rel.catholic" "rel.nonchr" "ed.cat1" "ed.cat3" "ed.cat4" "ed.cat5" "income.1" "income.3" "income.4" "income.dk" "parent" "hispanic" "female" "unborn" "womentradrole" "peacethrustrength" "searchterrorists" "bandangerousbooks" "firegayteachers" "xratedOK" "bush" "gore" "novote" "other"
"43" 2 2 3 1 3 2 3 2 7.18366517675742 0.516050453717572 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 4 4 2 3 3 4 3 FALSE TRUE FALSE FALSE
"44" 2 3 3 1 2 2 2 3 -9.81633482324258 0.96360429362005 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 4 2 4 4 4 3 TRUE FALSE FALSE FALSE
"45" 3 3 2 1 4 2 3 3 -6.81633482324258 0.464624204225495 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 2 4 2 2 3 1 TRUE FALSE FALSE FALSE
"46" 2 2 3 2 3 3 2 2 -27.8163348232426 7.73748482998738 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 4 2 4 3 2 2 FALSE FALSE TRUE FALSE
"47" 1 2 1 1 2 1 2 2 10.1836651767574 1.03707036432302 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 3 2 1 2 2 1 TRUE FALSE FALSE FALSE
"48" 1 1 1 1 3 2 2 2 -4.81633482324258 0.231970811295792 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 3 2 1 3 3 1 TRUE FALSE FALSE FALSE
"49" 3 3 3 2 3 2 3 2 -15.8163348232426 2.50156447240916 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 2 4 3 3 4 4 3 FALSE FALSE TRUE FALSE
"50" 1 4 1 1 4 4 1 4 -2.81633482324258 0.0793174183660884 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 4 1 4 4 1 1 TRUE FALSE FALSE FALSE
"51" 2 3 2 2 4 2 3 3 -26.8163348232426 7.19115813352253 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 4 1 3 2 3 2 FALSE FALSE TRUE FALSE
"52" 3 3 3 1 3 3 3 4 21.1836651767574 4.48747670320965 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 2 2 4 3 1 1 TRUE FALSE FALSE FALSE
"53" 2 2 2 2 4 2 3 3 -0.816334823242585 0.00666402543638502 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 4 1 3 1 3 3 FALSE FALSE TRUE FALSE
"54" 4 4 4 3 4 1 3 2 -5.81633482324258 0.338297507760643 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 2 2 4 2 2 3 FALSE FALSE TRUE FALSE
"55" 4 3 3 3 4 2 3 2 -21.8163348232426 4.75952465119827 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 3 4 3 4 4 4 3 FALSE TRUE FALSE FALSE
"56" 3 4 4 4 4 2 1 3 -27.8163348232426 7.73748482998738 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 2 4 4 2 1 1 4 TRUE FALSE FALSE FALSE
"57" 2 3 3 2 4 2 2 2 10.1836651767574 1.03707036432302 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 3 3 2 3 3 3 1 TRUE FALSE FALSE FALSE
"58" 4 4 4 4 4 2 4 2 -18.8163348232426 3.54054456180372 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 4 4 3 4 1 4 3 FALSE TRUE FALSE FALSE
"59" 1 1 4 2 4 1 1 4 19.1836651767574 3.68013009613935 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 4 4 1 2 4 3 FALSE TRUE FALSE FALSE
